"Reviewer","index","DOI","URL","Citation","Journal"
"Reviewer2",617,"10.1111/1752-1688.12517","https://doi.org/10.1111/1752-1688.12517","Griffin, E.R.; Friedman, J.M. (2017) Decreased Runoff Response to Precipitation, Little Missouri River Basin, Northern Great Plains, USA. Journal of the American Water Resources Association. 53, 576-592.","Journal of the American Water Resources Association"
"Reviewer2",631,"10.1111/1752-1688.12455","https://doi.org/10.1111/1752-1688.12455","Christensen, S.D.; Swain, N.R.; Jones, N.L.; Nelson, E.J.; Snow, A.D.; Dolder, H.G. (2017) A Comprehensive Python Toolkit for Accessing High-Throughput Computing to Support Large Hydrologic Modeling Tasks. Journal of the American Water Resources Association. 53, 333-343.","Journal of the American Water Resources Association"
"Reviewer2",657,"10.1111/1752-1688.12603","https://doi.org/10.1111/1752-1688.12603","Farmer, W.H.; Levin, S. (2017) Characterizing Uncertainty in Daily Streamflow Estimates at Ungauged Locations for the Massachusetts Sustainable Yield Estimator. Journal of the American Water Resources Association. NA, .","Journal of the American Water Resources Association"
"Reviewer2",720,"10.1016/j.jhydrol.2017.10.007","https://doi.org/10.1016/j.jhydrol.2017.10.007","Zhang, H.; Gorelick, S.M.; Zimba, P.V.; Zhang, X. (2017) A remote sensing method for estimating regional reservoir area and evaporative loss. Journal of Hydrology. 555, 213-227.","Journal of Hydrology"
"Reviewer2",762,"10.1016/j.jhydrol.2017.09.050","https://doi.org/10.1016/j.jhydrol.2017.09.050","Morbidelli, R.; Saltalippi, C.; Flammini, A.; Cifrodelli, M.; Picciafuoco, T.; Corradini, C.; Casas-Castillo, M.C.; Fowler, H.J.; Wilkinson, S.M. (2017) Effect of temporal aggregation on the estimate of annual maximum rainfall depths for the design of hydraulic infrastructure systems. Journal of Hydrology. 554, 710-720.","Journal of Hydrology"
"Reviewer2",782,"10.1016/j.jhydrol.2017.09.005","https://doi.org/10.1016/j.jhydrol.2017.09.005","Ren, J.; Guo, P. (2017) Nonlinear flow model of multiple fractured horizontal wells with stimulated reservoir volume including the quadratic gradient term. Journal of Hydrology. 554, 155-172.","Journal of Hydrology"
"Reviewer2",816,"10.1016/j.jhydrol.2017.08.008","https://doi.org/10.1016/j.jhydrol.2017.08.008","Zhang, C.; Guo, P. (2017) A generalized fuzzy credibility-constrained linear fractional programming approach for optimal irrigation water allocation under uncertainty. Journal of Hydrology. 553, 735-749.","Journal of Hydrology"
"Reviewer2",859,"10.1016/j.jhydrol.2017.06.048","https://doi.org/10.1016/j.jhydrol.2017.06.048","Fang, N.F.; Wang, L.; Shi, Z.H. (2017) Runoff and soil erosion of field plots in a subtropical mountainous region of China. Journal of Hydrology. 552, 387-395.","Journal of Hydrology"
"Reviewer2",877,"10.1016/j.jhydrol.2017.06.031","https://doi.org/10.1016/j.jhydrol.2017.06.031","Zhao, W.; Cui, Z.; Zhang, J.; Jin, J. (2017) Temporal stability and variability of soil-water content in a gravel-mulched field in northwestern China. Journal of Hydrology. 552, 249-257.","Journal of Hydrology"
"Reviewer2",918,"10.1016/j.jhydrol.2017.06.002","https://doi.org/10.1016/j.jhydrol.2017.06.002","Benyon, R.G.; Nolan, R.H.; Hawthorn, S.N.D.; Lane, P.N.J. (2017) Stand-level variation in evapotranspiration in non-water-limited eucalypt forests. Journal of Hydrology. 551, 233-244.","Journal of Hydrology"
"Reviewer2",1028,"10.1016/j.jhydrol.2017.03.067","https://doi.org/10.1016/j.jhydrol.2017.03.067","Huang, J.; McBratney, A.B.; Minasny, B.; Triantafilis, J. (2017) 3D soil water nowcasting using electromagnetic conductivity imaging and the ensemble Kalman filter. Journal of Hydrology. 549, 62-78.","Journal of Hydrology"
"Reviewer2",1043,"10.1016/j.jhydrol.2017.03.052","https://doi.org/10.1016/j.jhydrol.2017.03.052","Husic, A.; Fox, J.; Agouridis, C.; Currens, J.; Ford, W.; Taylor, C. (2017) Sediment carbon fate in phreatic karst (Part 1): Conceptual model development. Journal of Hydrology. 549, 179-193.","Journal of Hydrology"
"Reviewer2",1087,"10.1016/j.jhydrol.2017.03.018","https://doi.org/10.1016/j.jhydrol.2017.03.018","Zhang, Y.-Q.; Wang, J.-H.; Chen, J.-J.; Li, M.-G. (2017) Numerical study on the responses of groundwater and strata to pumping and recharge in a deep confined aquifer. Journal of Hydrology. 548, 342-352.","Journal of Hydrology"
"Reviewer2",1124,"10.1016/j.jhydrol.2017.03.023","https://doi.org/10.1016/j.jhydrol.2017.03.023","Jenifer, M.A.; Jha, M.K. (2017) Comparison of Analytic Hierarchy Process, Catastrophe and Entropy techniques for evaluating groundwater prospect of hard-rock aquifer systems. Journal of Hydrology. 548, 605-624.","Journal of Hydrology"
"Reviewer2",1219,"10.1016/j.jhydrol.2016.12.053","https://doi.org/10.1016/j.jhydrol.2016.12.053","Ouyang, W.; Xu, X.; Hao, Z.; Gao, X. (2017) Effects of soil moisture content on upland nitrogen loss. Journal of Hydrology. 546, 71-80.","Journal of Hydrology"
"Reviewer2",1255,"10.1016/j.jhydrol.2016.11.063","https://doi.org/10.1016/j.jhydrol.2016.11.063","Wu, M.; Cheng, Z.; Wu, J.; Wu, J. (2017) Quantifying representative elementary volume of connectivity for translucent granular materials by light transmission micro-tomography. Journal of Hydrology. 545, 12-27.","Journal of Hydrology"
"Reviewer2",1303,"10.1016/j.jhydrol.2016.11.042","https://doi.org/10.1016/j.jhydrol.2016.11.042","Binet, S.; Joigneaux, E.; Pauwels, H.; Albéric, P.; Fléhoc, C.; Bruand, A. (2017) Water exchange, mixing and transient storage between a saturated karstic conduit and the surrounding aquifer: Groundwater flow modeling and inputs from stable water isotopes. Journal of Hydrology. 544, 278-289.","Journal of Hydrology"
