Reviewer,index,DOI,URL,Citation,Journal
Reviewer3,1003,10.1016/j.jhydrol.2017.05.015,https://doi.org/10.1016/j.jhydrol.2017.05.015,"Li, H.; Zhang, Y. (2017) Regionalising rainfall-runoff modelling for predicting daily runoff: Comparing gridded spatial proximity and gridded integrated similarity approaches against their lumped counterparts. Journal of Hydrology. 550, 279-293.",Journal of Hydrology
Reviewer3,1012,10.1016/j.jhydrol.2017.05.005,https://doi.org/10.1016/j.jhydrol.2017.05.005,"Perumal, M.; Tayfur, G.; Madhusudana Rao, C.; Gurarslan, G. (2017) Reply to comment on “Evaluation of a physically based quasi-linear and a conceptually based nonlinear Muskingum methods” by Reza Barati. Journal of Hydrology. 550, 740-742.",Journal of Hydrology
Reviewer3,1058,10.1016/j.jhydrol.2017.04.004,https://doi.org/10.1016/j.jhydrol.2017.04.004,"Zhang, J.; Zhang, Y.; Song, J.; Cheng, L. (2017) Evaluating relative merits of four baseflow separation methods in Eastern Australia. Journal of Hydrology. 549, 252-263.",Journal of Hydrology
Reviewer3,1139,10.1016/j.jhydrol.2017.02.008,https://doi.org/10.1016/j.jhydrol.2017.02.008,"Li, J.; Evans, J.; Johnson, F.; Sharma, A.; Golmohammadi, G.; Rudra, R.; Dickinson, T.; Goel, P.; Veliz, M. (2017) Predicting the temporal variation of flow contributing areas using SWAT. Journal of Hydrology. 547, 375-386.",Journal of Hydrology
Reviewer3,1154,10.1016/j.jhydrol.2017.02.014,https://doi.org/10.1016/j.jhydrol.2017.02.014,"Sanskrityayn, A.; Suk, H.; Kumar, N. (2017) Analytical solutions for solute transport in groundwater and riverine flow using Green's Function Method and pertinent coordinate transformation method. Journal of Hydrology. 547, 517-533.",Journal of Hydrology
Reviewer3,1162,10.1016/j.jhydrol.2017.01.028,https://doi.org/10.1016/j.jhydrol.2017.01.028,"Evans, T.B.; Wilson, A.M. (2017) Submarine groundwater discharge and solute transport under a transgressive barrier island. Journal of Hydrology. 547, 97-110.",Journal of Hydrology
Reviewer3,1209,10.1016/j.jhydrol.2016.12.054,https://doi.org/10.1016/j.jhydrol.2016.12.054,"Dusek, J.; Vogel, T.; Dohnal, M.; Barth, J.A.C.; Sanda, M.; Marx, A.; Jankovec, J. (2017) Dynamics of dissolved organic carbon in hillslope discharge: Modeling and challenges. Journal of Hydrology. 546, 309-325.",Journal of Hydrology
Reviewer3,1243,10.1016/j.jhydrol.2016.12.018,https://doi.org/10.1016/j.jhydrol.2016.12.018,"Luo, J.; Zheng, Z.; Li, T.; He, S. (2017) Spatial heterogeneity of microtopography and its influence on the flow convergence of slopes under different rainfall patterns. Journal of Hydrology. 545, 88-99.",Journal of Hydrology
Reviewer3,1254,10.1016/j.jhydrol.2016.12.024,https://doi.org/10.1016/j.jhydrol.2016.12.024,"Chang, T.K.; Talei, A.; Alaghmand, S.; Ooi, M.P.-L. (2017) Choice of rainfall inputs for event-based rainfall-runoff modeling in a catchment with multiple rainfall stations using data-driven techniques. Journal of Hydrology. 545, 100-108.",Journal of Hydrology
Reviewer3,1308,10.1016/j.jhydrol.2017.12.015,https://doi.org/10.1016/j.jhydrol.2017.12.015,"Kwon, M.; Kwon, H.-H.; Han, D. (2017) A spatial downscaling of soil moisture from rainfall, temperature, and AMSR2 using a Gaussian-mixture nonstationary hidden Markov model. Journal of Hydrology. NA, .",Journal of Hydrology
Reviewer3,1327,10.1016/j.jhydrol.2016.12.004,https://doi.org/10.1016/j.jhydrol.2016.12.004,"Zhao, Z.; Illman, W.A. (2017) On the importance of geological data for three-dimensional steady-state hydraulic tomography analysis at a highly heterogeneous aquifer-aquitard system. Journal of Hydrology. 544, 640-657.",Journal of Hydrology
Reviewer3,1343,10.1061/(ASCE)WR.1943-5452.0000846,https://doi.org/10.1061/(ASCE)WR.1943-5452.0000846,"Creaco, E.; Walski, T. (2017) Economic analysis of pressure control for leakage and pipe burst reduction. Journal of Water Resources Planning and Management. 143, NA.",Journal of Water Resources Planning and Management
Reviewer3,1352,10.1061/(ASCE)WR.1943-5452.0000822,https://doi.org/10.1061/(ASCE)WR.1943-5452.0000822,"Scruggs, C.E.; Thomson, B.M. (2017) Opportunities and challenges for direct potable water reuse in Arid Inland communities. Journal of Water Resources Planning and Management. 143, NA.",Journal of Water Resources Planning and Management
Reviewer3,1357,10.1061/(ASCE)WR.1943-5452.0000832,https://doi.org/10.1061/(ASCE)WR.1943-5452.0000832,"Brazil, L.; Grigg, N.; Kummerow, C.; Waskom, R. (2017) Water and climate: Charting the path to a sustainable future. Journal of Water Resources Planning and Management. 143, NA.",Journal of Water Resources Planning and Management
Reviewer3,1425,10.1061/(ASCE)WR.1943-5452.0000752,https://doi.org/10.1061/(ASCE)WR.1943-5452.0000752,"Gao, T. (2017) Pipe roughness estimation in water distribution networks using head loss adjustment. Journal of Water Resources Planning and Management. 143, NA.",Journal of Water Resources Planning and Management
Reviewer3,1426,10.1061/(ASCE)WR.1943-5452.0000781,https://doi.org/10.1061/(ASCE)WR.1943-5452.0000781,"Mahmoud, H.A.; Savić, D.; Kapelan, Z. (2017) New pressure-driven approach for modeling water distribution networks. Journal of Water Resources Planning and Management. 143, NA.",Journal of Water Resources Planning and Management
Reviewer3,1428,10.1061/(ASCE)WR.1943-5452.0000750,https://doi.org/10.1061/(ASCE)WR.1943-5452.0000750,"Liang, Y.; Hui, C.W. (2017) Convexification of head loss equation: Application to water distribution system optimizations. Journal of Water Resources Planning and Management. 143, NA.",Journal of Water Resources Planning and Management
Reviewer3,1446,10.1061/(ASCE)WR.1943-5452.0000729,https://doi.org/10.1061/(ASCE)WR.1943-5452.0000729,"Piller, O.; Elhay, S.; Deuerlein, J.; Simpson, A.R. (2017) Local sensitivity of pressure-driven modeling and demand-driven modeling steady-state solutions to variations in parameters. Journal of Water Resources Planning and Management. 143, NA.",Journal of Water Resources Planning and Management
Reviewer3,1496,10.1002/2017WR020858,https://doi.org/10.1002/2017WR020858,"Ye, S.; Reisinger, A.J.; Tank, J.L.; Baker, M.A.; Hall, Jr., R.O.; Rosi, E.J.; Sivapalan, M. (2017) Scaling Dissolved Nutrient Removal in River Networks: A Comparative Modeling Investigation. Water Resources Research. 53, 9623-9641.",Water Resources Research
Reviewer3,1573,10.1002/2017WR021074,https://doi.org/10.1002/2017WR021074,"Sansom, J.; Bulla, J.; Carey-Smith, T.; Thomson, P. (2017) The impact of conventional space-time aggregation on the dynamics of continuous-time rainfall. Water Resources Research. 53, 7558-7575.",Water Resources Research
Reviewer3,1580,10.1002/2017WR020554,https://doi.org/10.1002/2017WR020554,"Severino, G.; Scarfato, M.; Comegna, A. (2017) Stochastic analysis of unsaturated steady flows above the water table. Water Resources Research. 53, 6687-6708.",Water Resources Research
Reviewer3,1650,10.1002/2016WR020104,https://doi.org/10.1002/2016WR020104,"Creaco, E.; Pezzinga, G.; Savic, D. (2017) On the choice of the demand and hydraulic modeling approach to WDN real-time simulation. Water Resources Research. 53, 6159-6177.",Water Resources Research
